User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration,Months Since Join,Months Since Last Payment
1,Basic,10,2022-01-01,2023-06-01,United States,28,Male,Smartphone,1 Month,29,12
2,Premium,15,2021-09-01,2023-06-01,Canada,35,Female,Tablet,1 Month,33,12
3,Standard,12,2023-02-01,2023-06-01,United Kingdom,42,Male,Smart TV,1 Month,16,12
4,Standard,12,2022-07-01,2023-06-01,Australia,51,Female,Laptop,1 Month,23,12
5,Basic,10,2023-05-01,2023-06-01,Germany,33,Male,Smartphone,1 Month,13,12
6,Premium,15,2022-03-01,2023-06-01,France,29,Female,Smart TV,1 Month,27,12
7,Standard,12,2021-12-01,2023-06-01,Brazil,46,Male,Tablet,1 Month,30,12
8,Basic,10,2023-04-01,2023-06-01,Mexico,39,Female,Laptop,1 Month,14,12
9,Standard,12,2022-10-01,2023-06-01,Spain,37,Male,Smartphone,1 Month,20,12
10,Premium,15,2023-01-01,2023-06-01,Italy,44,Female,Smart TV,1 Month,17,12
11,Basic,10,2022-05-01,2023-06-01,United States,31,Female,Smartphone,1 Month,25,12
12,Premium,15,2023-03-01,2023-06-01,Canada,45,Male,Tablet,1 Month,15,12
13,Standard,12,2021-11-01,2023-06-01,United Kingdom,48,Female,Laptop,1 Month,31,12
14,Basic,10,2022-08-01,2023-06-01,Australia,27,Male,Smartphone,1 Month,22,12
15,Standard,12,2023-05-01,2023-06-01,Germany,38,Female,Smart TV,1 Month,13,12
16,Premium,15,2022-04-01,2023-06-01,France,36,Male,Tablet,1 Month,26,12
17,Basic,10,2022-01-01,2023-06-01,Brazil,30,Female,Laptop,1 Month,29,12
18,Standard,12,2021-10-01,2023-06-01,Mexico,43,Male,Smartphone,1 Month,32,12
19,Premium,15,2023-02-01,2023-06-01,Spain,32,Female,Smart TV,1 Month,16,12
20,Basic,10,2023-05-01,2023-06-01,Italy,41,Male,Tablet,1 Month,13,12
21,Premium,15,2023-06-01,2023-06-01,United States,26,Female,Laptop,1 Month,12,12
22,Basic,10,2022-07-01,2023-06-01,Canada,34,Male,Smartphone,1 Month,23,12
23,Standard,12,2021-12-01,2023-06-01,United Kingdom,49,Female,Smart TV,1 Month,30,12
24,Standard,12,2022-04-01,2023-06-01,Australia,31,Male,Tablet,1 Month,26,12
25,Basic,10,2023-03-01,2023-06-01,Germany,40,Female,Laptop,1 Month,15,12
26,Premium,15,2022-01-01,2023-06-01,France,29,Male,Smartphone,1 Month,29,12
27,Basic,10,2022-08-01,2023-06-01,Brazil,47,Female,Smart TV,1 Month,22,12
28,Standard,12,2021-09-01,2023-06-01,Mexico,33,Male,Tablet,1 Month,33,12
29,Premium,15,2022-12-01,2023-06-01,Spain,36,Female,Laptop,1 Month,18,12
30,Basic,10,2023-05-01,2023-06-01,Italy,42,Male,Smartphone,1 Month,13,12
31,Premium,15,2023-02-01,2023-06-01,United States,28,Female,Smart TV,1 Month,16,12
32,Basic,10,2022-07-01,2023-06-01,Canada,37,Male,Tablet,1 Month,23,12
33,Standard,12,2022-01-01,2023-06-01,United Kingdom,41,Female,Laptop,1 Month,29,12
34,Standard,12,2022-05-01,2023-06-01,Australia,29,Male,Smartphone,1 Month,25,12
35,Basic,10,2023-04-01,2023-06-01,Germany,39,Female,Smart TV,1 Month,14,12
36,Premium,15,2022-03-01,2023-06-01,France,35,Male,Tablet,1 Month,27,12
37,Basic,10,2022-09-01,2023-06-01,Brazil,45,Female,Laptop,1 Month,21,12
38,Standard,12,2021-11-01,2023-06-01,Mexico,32,Male,Smartphone,1 Month,31,12
39,Premium,15,2022-12-01,2023-06-01,Spain,27,Female,Smart TV,1 Month,18,12
40,Basic,10,2023-03-01,2023-06-01,Italy,48,Male,Tablet,1 Month,15,12
41,Premium,15,2023-01-01,2023-06-01,United States,31,Female,Laptop,1 Month,17,12
42,Basic,10,2022-06-01,2023-06-01,Canada,40,Male,Smartphone,1 Month,24,12
43,Standard,12,2022-02-01,2023-06-01,United Kingdom,36,Female,Smart TV,1 Month,28,12
44,Standard,12,2022-04-01,2023-06-01,Australia,29,Male,Tablet,1 Month,26,12
45,Basic,10,2023-01-01,2023-06-01,Germany,43,Female,Laptop,1 Month,17,12
46,Premium,15,2022-02-01,2023-06-01,France,34,Male,Smartphone,1 Month,28,12
47,Basic,10,2022-10-01,2023-06-01,Brazil,39,Female,Smart TV,1 Month,20,12
48,Standard,12,2021-09-01,2023-06-01,Mexico,32,Male,Tablet,1 Month,33,12
49,Premium,15,2022-11-01,2023-06-01,Spain,28,Female,Laptop,1 Month,19,12
50,Basic,10,2023-06-01,2023-06-01,Italy,45,Male,Smartphone,1 Month,12,12
51,Premium,15,2023-02-01,2023-06-01,United States,30,Female,Smart TV,1 Month,16,12
52,Basic,10,2022-08-01,2023-06-01,Canada,37,Male,Tablet,1 Month,22,12
